,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region,region_name
2192,2019-01-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1623329,megawatthours,Midwest,Midcontinent ISO
2193,2019-01-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1822942,megawatthours,Midwest,Midcontinent ISO
2194,2019-01-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1812516,megawatthours,Midwest,Midcontinent ISO
2195,2019-01-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1783122,megawatthours,Midwest,Midcontinent ISO
2196,2019-01-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1637015,megawatthours,Midwest,Midcontinent ISO
2197,2019-01-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1604087,megawatthours,Midwest,Midcontinent ISO
2198,2019-01-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1690003,megawatthours,Midwest,Midcontinent ISO
2199,2019-01-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1698345,megawatthours,Midwest,Midcontinent ISO
2200,2019-01-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1855282,megawatthours,Midwest,Midcontinent ISO
2201,2019-01-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1919361,megawatthours,Midwest,Midcontinent ISO
2202,2019-01-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1870872,megawatthours,Midwest,Midcontinent ISO
2203,2019-01-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1723201,megawatthours,Midwest,Midcontinent ISO
2204,2019-01-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1737183,megawatthours,Midwest,Midcontinent ISO
2205,2019-01-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1916300,megawatthours,Midwest,Midcontinent ISO
2206,2019-01-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1916570,megawatthours,Midwest,Midcontinent ISO
